JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
16,1.14165,0.93231,0.87735,0.36507,0.1258,0.06792,0.00135,2.77141,19.97333,1.71002,39.35957,40.21458,2.5,136.7258
17,1.47656,1.07239,2.41177,0.35928,0.14897,0.05884,0.00142,6.095,26.22991,1.87391,52.09413,53.03108,2.5,117.58683
18,0.91243,0.99088,0.89378,0.32387,0.19281,0.08208,0.00136,7.15626,24.86872,1.91605,49.24014,50.19817,2.5,112.66507
19,1.48249,1.04938,2.33611,0.36319,0.15787,0.07155,0.00136,8.35206,27.6201,1.9192,54.90391,55.86351,2.5,111.50212
20,1.50893,0.95418,0.87646,0.25851,0.16941,0.06953,0.00132,9.71571,14.4342,2.42442,27.18285,28.39506,2.5,113.2545
21,0.93299,0.95359,2.50285,0.25104,0.19796,0.08786,0.00134,7.24868,21.5897,2.16295,42.21748,43.29895,2.5,139.45626
22,1.57069,1.05289,0.81241,0.25431,0.14596,0.05162,0.00138,5.75128,13.10047,2.22594,24.65174,25.76471,2.5,140.32515
23,0.94494,0.94545,2.44972,0.29704,0.17861,0.08718,0.00145,2.27791,21.04589,2.00199,41.26771,42.26871,2.5,147.95259
24,1.54716,0.92297,2.26693,0.29921,0.11101,0.0763,0.0015,1.05245,20.2449,1.92066,39.69559,40.65592,2.5,143.18871
25,1.47551,0.95529,1.62714,0.37015,0.10485,0.03763,0.00146,7.85972,17.07504,1.7419,33.36543,34.23638,2.5,140.86678
26,0.93577,0.90062,2.4672,0.29008,0.1671,0.03552,0.0014,8.90698,20.31837,1.76741,40.01934,40.90304,2.5,143.00994
27,1.55883,0.97363,2.09593,0.32355,0.19552,0.08207,0.00138,0.21439,18.73292,2.31139,36.17456,37.33026,2.5,140.61918
28,1.23865,1.00369,2.55909,0.28277,0.11895,0.06749,0.00136,442.23216,9.91328,1.87341,18.45246,19.38917,2.5,136.18279
29,1.42594,0.90987,2.5232,0.38264,0.16425,0.04046,0.00146,5.18784,23.84069,1.80837,47.24249,48.14667,2.5,143.18922
30,1.04001,1.07635,2.20489,0.33532,0.13319,0.06353,0.00141,850.04103,6.4364,1.72857,11.44634,12.31063,2.5,150.99009
31,1.49881,1.0242,2.29413,0.35025,0.15524,0.03992,0.00141,0.04064,28.1201,1.85442,56.01114,56.93834,2.5,139.43431
